SMILES;SLC6A19_score;SLC6A20_score;source
C;-2.8375;-2.54507;beide
C#CC1(OC(N)=O)CCCCC1;-5.61622;-7.26839;beide
C#CCN(C)Cc1ccccc1;-4.27586;-3.22097;beide
C#CCN[C@@H]1CCc2ccccc21;-3.90536;-4.26495;beide
C#CC[N@@H+](C)Cc1ccccc1;-4.54098;-3.50354;beide
C#CC[N@@H+](C)[C@H](C)Cc1ccccc1;-4.34759;-3.42945;beide
C#CC[N@H+](C)Cc1ccccc1;-5.27469;-4.52226;beide
C#CC[N@H+](C)[C@H](C)Cc1ccccc1;-4.32464;-4.00192;beide
C#CC[NH2+][C@@H]1CCc2ccccc21;-5.85544;-5.77951;beide
C#C[C@@](O)(/C=C/Cl)CC;-4.87739;-5.35709;beide
C#C[C@](O)(/C=C/Cl)CC;-4.81066;-5.17755;beide
C#Cc1c[n-]c(=O)[nH]c1=O;-4.71294;-4.27458;beide
C#Cc1c[nH]c(=O)[n-]c1=O;-3.28664;-4.43017;beide
C#Cc1c[nH]c(=O)[nH]c1=O;-7.93031;-6.22382;beide
C/C(O)=N/c1nnc(S([NH-])(=O)=O)s1;-3.66044;-2.04127;beide
C1=Cc2ccccc2NN=C1;-7.3719;-5.33865;beide
C1COC(NC(C2CC2)C2CC2)=[NH+]1;-4.25652;-4.41242;beide
C1C[NH2+]CCN1;-7.15306;-5.90763;beide
C1C[NH2+]CC[NH2+]1;-6.06612;-3.83167;beide
C1N2CN3CN1CN(C2)C3;-5.44372;-4.99479;beide
C1N2CN3CN1C[NH+](C2)C3;-4.06228;-4.13627;beide
C=C;-3.36638;-3.12576;beide
C=C(C#N)C(=O)OC;-4.44228;-5.25689;beide
C=C(C#N)C(=O)OCCCC;-4.46315;-3.46951;beide
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O;-4.78739;-5.19657;beide
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O;-4.63202;-5.45326;beide
C=CCC1(C[C@@H](C)O)C(=O)NC(=O)NC1=O;-4.13977;-4.45717;beide
C=CCC1(C[C@H](C)O)C(=O)NC(=O)NC1=O;-4.27368;-4.23963;beide
C=CCC1([C@@H](C)CCC)C(=O)NC(=O)NC1=O;-3.7934;-3.01667;beide
C=CCC1([C@H](C)CC)C(=O)NC(=O)NC1=O;-4.40675;-4.74454;beide
C=CC[C@@]1(C(C)C)C(=O)[N-]C(=O)NC1=O;-3.73053;-3.85063;beide
C=CC[C@@]1(CC(C)C)C(=O)[N-]C(=O)NC1=O;-3.72545;-3.34863;beide
C=CC[C@@]1(C[C@@H](C)O)C(=O)[N-]C(=O)NC1=O;-3.59854;-2.53904;beide
C=CC[C@@]1(C[C@H](C)O)C(=O)[N-]C(=O)NC1=O;-3.44165;-3.21242;beide
C=CC[C@@]1([C@@H](C)CC)C(=O)[N-]C(=O)NC1=O;-3.93821;-2.28451;beide
C=CC[C@@]1([C@@H](C)CCC)C(=O)[N-]C(=S)NC1=O;-1.8371;-1.70832;beide
C=CC[C@@]1([C@H](C)CC)C(=O)[N-]C(=O)NC1=O;-3.52716;-3.36807;beide
C=CC[C@]1(C(C)C)C(=O)[N-]C(=O)NC1=O;-3.90314;-4.65334;beide
C=CC[C@]1(CC(C)C)C(=O)[N-]C(=O)NC1=O;-3.95538;-2.78359;beide
C=CC[C@]1(C[C@@H](C)O)C(=O)[N-]C(=O)NC1=O;-3.46837;-2.8644;beide
C=CC[C@]1(C[C@H](C)O)C(=O)[N-]C(=O)NC1=O;-3.1711;-3.15326;beide
C=CC[C@]1([C@@H](C)CC)C(=O)[N-]C(=O)NC1=O;-3.67569;-3.41151;beide
C=CCl;-3.81042;-3.85793;beide
C=C[C@@H]([NH3+])CCC(=O)[O-];-4.17883;-3.56678;beide
C=C[C@H]([NH3+])CCC(=O)[O-];-4.89541;-3.89611;beide
CC(=O)CCC(=O)[O-];-4.99936;-5.92992;beide
CC(=O)NCCCCCC(=O)[O-];-5.08238;-3.58636;beide
CC(=O)NCCCS(=O)(=O)[O-];-5.63535;-4.89949;beide
CC(=O)NO;-5.92752;-5.6154;beide
CC(=O)NS(=O)(=O)c1ccc(N)cc1;-3.32495;-3.15106;beide
CC(=O)N[C@@H](CC(C)C)C(=O)[O-];-5.16295;-4.98683;beide
CC(=O)N[C@@H](CS)C(=O)[O-];-4.74526;-5.40464;beide
CC(=O)Nc1ccc(O)cc1;-6.48564;-5.44782;beide
CC(=O)Nc1ccccc1;-7.79272;-5.62691;beide
CC(=O)Nc1nnc(S([NH-])(=O)=O)s1;-4.99802;-3.80185;beide
CC(=O)OCC[N+](C)(C)C;-6.4769;-4.86655;beide
CC(=O)O[C@@H](C)C[N+](C)(C)C;-6.4606;-4.71506;beide
CC(=O)O[C@@H]1CN2CCC1CC2;-6.17347;-5.83662;beide
CC(=O)O[C@@H]1C[N@H+]2CC[C@@H]1CC2;-7.16278;-5.34877;beide
CC(=O)O[C@H](C)C[N+](C)(C)C;-6.45287;-4.79865;beide
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C;-5.81094;-3.99171;beide
CC(=O)O[C@H]1CN2CCC1CC2;-6.21318;-5.49642;beide
CC(=O)O[C@H]1C[N@H+]2CC[C@@H]1CC2;-7.70532;-5.35461;beide
CC(=O)Oc1ccccc1C(=O)[O-];-4.54413;-3.35891;beide
CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1;-3.56301;-4.67008;beide
CC(=O)[O-];-4.14843;-4.2865;beide
CC(C)(O)CC(=O)[O-];-4.71084;-5.34188;beide
CC(C)(S)C(=O)N[C@@H](CS)C(=O)[O-];-4.89791;-2.0621;beide
CC(C)(S)[C@@H]([NH3+])C(=O)[O-];-5.93651;-6.80004;beide
CC(C)([NH3+])Cc1ccccc1;-7.57416;-7.10455;beide
CC(C)([S-])C(=O)N[C@@H](CS)C(=O)[O-];-1.65282;-0.240995;beide
CC(C)([S-])[C@@H]([NH3+])C(=O)[O-];-3.17434;-4.15832;beide
CC(C)C[C@H](C[NH3+])CC(=O)[O-];-6.45353;-5.82642;beide
CC(C)C[C@H]([NH3+])C(=O)[O-];-5.65111;-5.50159;beide
CC(C)Nc1ncccn1;-5.88164;-5.80598;beide
CC(C)O;-2.60441;-2.70964;beide
CC(C)OC(=O)OC1CCCCC1;-4.77403;-0.847802;beide
CC(C)OP(=O)(F)OC(C)C;-4.30854;-2.84717;beide
CC(C)[C@@H](Br)C(=O)NC(N)=O;-6.40825;-5.73451;beide
CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O;-7.6308;-6.87936;beide
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O;-6.80973;-5.89747;beide
CC(C)[C@@H]1CC[C@H](C)C[C@@H]1O;-7.65024;-6.00068;beide
CC(C)[C@@H]1CC[C@H](C)C[C@H]1O;-6.46722;-6.45529;beide
CC(C)[C@H](Br)C(=O)NC(N)=O;-6.82573;-6.50013;beide
CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O;-5.65015;-4.32366;beide
CC(C)[C@H](N)C(=O)NCCCS(=O)(=O)[O-];-4.31345;-1.62114;beide
CC(C)[C@H]([NH3+])C(=O)NCCCS(=O)(=O)[O-];-7.49349;-2.30058;beide
CC(C)[C@H]1CC[C@@H](C)C[C@@H]1O;-6.56094;-6.37419;beide
CC(C)[C@H]1CC[C@@H](C)C[C@H]1O;-6.84078;-6.72158;beide
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O;-7.31397;-6.66613;beide
CC(C)[C@H]1CC[C@H](C)C[C@H]1O;-6.98367;-5.29311;beide
